UTF8±àÂë±í´óÈ«
Code  code# Code      (coded in UTF-8)

CFF1  50CF  E5 83 8F  Ïñ
D9D2  50D6  E5 83 96  ÙÒ
C1C5  50DA  E5 83 9A  ÁÅ
D9D6  50E6  E5 83 A6  ÙÖ
C9AE  50E7  E5 83 A7  É®
D9D5  50EC  E5 83 AC  ÙÕ
D9D4  50ED  E5 83 AD  ÙÔ
D9D7  50EE  E5 83 AE  Ù×
CBDB  50F3  E5 83 B3  ËÛ
BDA9  50F5  E5 83 B5  ½©
C6A7  50FB  E5 83 BB  Æ§
D9D3  5106  E5 84 86  ÙÓ
D9D8  5107  E5 84 87  ÙØ
D9D9  510B  E5 84 8B  ÙÙ
C8E5  5112  E5 84 92  Èå
C0DC  5121  E5 84 A1  ÀÜ
B6F9  513F  E5 84 BF  ¶ù
D8A3  5140  E5 85 80  Ø£
D4CA  5141  E5 85 81  ÔÊ
D4AA  5143  E5 85 83  Ôª
D0D6  5144  E5 85 84  ÐÖ
B3E4  5145  E5 85 85  ³ä
D5D7  5146  E5 85 86  Õ×
CFC8  5148  E5 85 88  ÏÈ
B9E2  5149  E5 85 89  ¹â
BFCB  514B  E5 85 8B  ¿Ë
C3E2  514D  E5 85 8D  Ãâ
B6D2  5151  E5 85 91  ¶Ò
CDC3  5154  E5 85 94  ÍÃ
D9EE  5155  E5 85 95  Ùî
D9F0  5156  E5 85 96  Ùð
B5B3  515A  E5 85 9A  µ³
B6B5  515C  E5 85 9C  ¶µ
BEA4  5162  E5 85 A2  ¾¤
C8EB  5165  E5 85 A5  Èë
C8AB  5168  E5 85 A8  È«
B0CB  516B  E5 85 AB  °Ë
B9AB  516C  E5 85 AC  ¹«
C1F9  516D  E5 85 AD  Áù
D9E2  516E  E5 85 AE  Ùâ
C0BC  5170  E5 85 B0  À¼
B9B2  5171  E5 85 B1  ¹²
B9D8  5173  E5 85 B3  ¹Ø
D0CB  5174  E5 85 B4  ÐË
B1F8  5175  E5 85 B5  ±ø
C6E4  5176  E5 85 B6  Æä
BEDF  5177  E5 85 B7  ¾ß
B5E4  5178  E5 85 B8  µä
D7C8  5179  E5 85 B9  ×È
D1F8  517B  E5 85 BB  Ñø
BCE6  517C  E5 85 BC  ¼æ
CADE  517D  E5 85 BD  ÊÞ
BCBD  5180  E5 86 80  ¼½
D9E6  5181  E5 86 81  Ùæ
D8E7  5182  E5 86 82  Øç
C4DA  5185  E5 86 85  ÄÚ
B8D4  5188  E5 86 88  ¸Ô
C8BD  5189  E5 86 89  È½
B2E1  518C  E5 86 8C  ²á
D4D9  518D  E5 86 8D  ÔÙ
C3B0  5192  E5 86 92  Ã°
C3E1  5195  E5 86 95  Ãá
DAA2  5196  E5 86 96  Ú¢
C8DF  5197  E5 86 97  Èß
D0B4  5199  E5 86 99  Ð´
BEFC  519B  E5 86 9B  ¾ü
C5A9  519C  E5 86 9C  Å©
B9DA  51A0  E5 86 A0  ¹Ú
DAA3  51A2  E5 86 A2  Ú£
D4A9  51A4  E5 86 A4  Ô©
DAA4  51A5  E5 86 A5  Ú¤
D9FB  51AB  E5 86 AB  Ùû
B6AC  51AC  E5 86 AC  ¶¬
B7EB  51AF  E5 86 AF  ·ë
B1F9  51B0  E5 86 B0  ±ù
D9FC  51B1  E5 86 B1  Ùü
B3E5  51B2  E5 86 B2  ³å
BEF6  51B3  E5 86 B3  ¾ö
BFF6  51B5  E5 86 B5  ¿ö
D2B1  51B6  E5 86 B6  Ò±
C0E4  51B7  E5 86 B7  Àä
B6B3  51BB  E5 86 BB  ¶³
D9FE  51BC  E5 86 BC  Ùþ
D9FD  51BD  E5 86 BD  Ùý
BEBB  51C0  E5 87 80  ¾»
C6E0  51C4  E5 87 84  Æà
D7BC  51C6  E5 87 86  ×¼
DAA1  51C7  E5 87 87  Ú¡
C1B9  51C9  E5 87 89  Á¹
B5F2  51CB  E5 87 8B  µò
C1E8  51CC  E5 87 8C  Áè
BCF5  51CF  E5 87 8F  ¼õ
B4D5  51D1  E5 87 91  ´Õ
C1DD  51DB  E5 87 9B  ÁÝ
C4FD  51DD  E5 87 9D  Äý
BCB8  51E0  E5 87 A0  ¼¸
B7B2  51E1  E5 87 A1  ·²
B7EF  51E4  E5 87 A4  ·ï
D9EC  51EB  E5 87 AB  Ùì
C6BE  51ED  E5 87 AD  Æ¾
BFAD  51EF  E5 87 AF  ¿­
BBCB  51F0  E5 87 B0  »Ë
B5CA  51F3  E5 87 B3  µÊ
DBC9  51F5  E5 87 B5  ÛÉ
D0D7  51F6  E5 87 B6  Ð×
CDB9  51F8  E5 87 B8  Í¹
B0BC  51F9  E5 87 B9  °¼
B3F6  51FA  E5 87 BA  ³ö
BBF7  51FB  E5 87 BB  »÷
DBCA  51FC  E5 87 BC  ÛÊ
BAAF  51FD  E5 87 BD  º¯
D4E4  51FF  E5 87 BF  Ôä
B5B6  5200  E5 88 80  µ¶
B5F3  5201  E5 88 81  µó
D8D6  5202  E5 88 82  ØÖ
